lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
70644,SMEDBERG LAKE,160323,2809,YOSEMITE,16.5,281821,4210280,8/11/00,Yes,Yes,8/11/00,No
70647,EVELYN LAKE,171129,3150,YOSEMITE,13.1,295311,4186860,7/20/01,Yes,Yes,7/29/14,No
70648,RODGERS LAKE,179355,2898,YOSEMITE,16,280981,4208230,8/25/00,Yes,Yes,6/25/14,No
70649,PENINSULA LAKE,180593,2714,YOSEMITE,8.5,264136,4220320,8/27/00,Yes,No,6/25/12,Yes
70650,BOUNDARY LAKE,191513,2294,YOSEMITE,30,255343,4219320,7/31/00,Yes,No,5/26/14,Yes
70651,MANY ISLAND LAKE,195636,2233,YOSEMITE,14.5,253293,4218720,7/7/00,Yes,No,7/22/12,Yes
70652,,201693,2716,YOSEMITE,11,274317,4215270,8/23/00,Yes,No,8/23/00,No
70653,"BRANIGAN LAKE, LOWER",207101,2240,YOSEMITE,30,264108,4212560,9/10/00,Yes,Yes,9/10/00,No
70656,BEARUP LAKE,223897,2298,YOSEMITE,29.5,262935,4216150,9/25/00,Yes,Yes,7/21/12,Yes
70658,"TWIN LAKE, UPPER",228405,2715,YOSEMITE,14,267131,4224300,9/9/00,Yes,Yes,9/9/00,No
70660,DOROTHY LAKE,250314,2863,YOSEMITE,15,273198,4228550,8/8/00,Yes,Yes,7/6/12,Yes
70661,VERNON LAKE,255068,2001,YOSEMITE,14,260823,4210820,9/7/00,Yes,Yes,8/16/12,No
70662,MARY LAKE,259040,2932,YOSEMITE,11,275488,4224860,8/10/00,Yes,Yes,8/10/00,No
70663,ROOSEVELT LAKE,260039,3104,YOSEMITE,14,294944,4205140,9/10/00,Yes,Yes,6/26/12,No
70664,"MCCABE LAKE, UPPER",261038,3200,YOSEMITE,30,296004,4207880,7/18/00,Yes,Yes,6/27/12,No
70665,EDITH LAKE,261271,1919,YOSEMITE,30,258797,4216170,8/22/00,Yes,Yes,8/22/00,No
70666,SPOTTED FAWN LAKE,289005,2233,YOSEMITE,30,256348,4217530,7/27/00,Yes,No,7/1/06,Yes
70668,LAUREL LAKE,365005,1978,YOSEMITE,10.25,254560,4209380,8/7/00,Yes,Yes,7/17/12,No
70669,"IRELAND LAKE, UPPER",429115,3272,YOSEMITE,30,297076,4184880,7/22/01,Yes,Yes,7/22/01,No
70670,KIBBIE LAKE,479113,1985,YOSEMITE,30,250298,4215610,6/25/00,Yes,Yes,6/25/00,No
70671,"TWIN LAKE, LOWER",501865,2639,YOSEMITE,18,264912,4223830,9/8/00,Yes,Yes,6/20/12,Yes
70672,TILDEN LAKE,585640,2716,YOSEMITE,12,271743,4220600,8/6/00,Yes,Yes,7/8/12,No
70677,,33388,3133,YOSEMITE,21,274765,4225820,8/9/00,Yes,No,8/9/00,No
70678,BENSON LAKE,694417,2311,YOSEMITE,30,277938,4210530,8/28/00,Yes,Yes,8/28/00,No
70686,SKELTON LAKES,21871,3322,YOSEMITE,7.2,298038,4201500,8/24/01,Yes,No,7/31/07,No
70689,,33326,3463,YOSEMITE,7.25,296946,4181450,8/27/01,Yes,No,8/27/01,No
70704,WASHBURN LAKE,212865,2318,YOSEMITE,26,290924,4176860,7/28/01,Yes,Yes,7/28/01,No
71092,,227,2896,YOSEMITE,2,265333,4223360,9/10/00,Yes,No,9/10/00,No
71128,,250,2676,YOSEMITE,0.6,271072,4218620,8/5/00,Yes,No,8/5/00,No
71129,,250,2152,YOSEMITE,0.9,253713,4216520,7/12/00,Yes,No,8/8/13,Yes
71164,,270,3066,YOSEMITE,0.4,294769,4203480,9/13/00,Yes,No,9/13/00,No
71208,,291,2044,YOSEMITE,1.5,274444,4202520,6/26/00,Yes,No,6/26/00,No
71224,,295,1542,YOSEMITE,7.3,252094,4209500,8/17/00,Yes,No,8/17/00,No
71266,,313,2615,YOSEMITE,0.5,270452,4216280,7/25/00,Yes,No,7/22/12,No
71292,,323,2652,YOSEMITE,1,271714,4214030,8/24/00,Yes,No,8/24/00,No
71386,,371,2073,YOSEMITE,0.9,252210,4216740,6/27/00,Yes,No,6/27/00,No
71387,,372,2780,YOSEMITE,0.6,275379,4218210,8/20/00,Yes,No,7/11/14,No
71394,,380,2993,YOSEMITE,0.3,301835,4196960,8/22/01,Yes,No,8/22/01,No
71405,,385,2152,YOSEMITE,1.1,252672,4216890,6/28/00,Yes,No,6/28/00,No
71406,,385,2460,YOSEMITE,1.25,268242,4213250,7/20/00,Yes,No,7/21/12,Yes
71416,,389,1786,YOSEMITE,0.4,255175,4213200,8/19/00,Yes,No,8/19/00,No
71419,,391,2798,YOSEMITE,0.6,283535,4213560,8/13/00,Yes,No,8/13/00,No
71454,,407,3274,YOSEMITE,0.45,293471,4214640,7/23/00,Yes,No,7/23/00,No
71461,,411,2274,YOSEMITE,0.7,255023,4217970,7/9/00,Yes,No,8/7/13,No
71462,,411,2152,YOSEMITE,1.1,252704,4217030,6/28/00,Yes,No,6/28/00,No
71465,,412,2944,YOSEMITE,1.3,276330,4211210,8/26/00,Yes,No,8/5/12,Yes
71472,,416,2067,YOSEMITE,1.1,255289,4215970,7/16/00,Yes,No,7/16/00,No
71482,,421,2420,YOSEMITE,0.7,258779,4219480,7/29/00,Yes,No,7/18/12,Yes
71494,,426,2713,YOSEMITE,1.75,267214,4217930,9/23/00,Yes,No,9/23/00,No
71500,,430,1652,YOSEMITE,1.6,253411,4204260,8/6/00,Yes,No,8/6/00,No
71541,,457,2353,YOSEMITE,1.8,254275,4219280,7/7/00,Yes,No,7/7/00,No
71553,,463,2640,YOSEMITE,2,269921,4214820,7/24/00,Yes,No,7/24/00,No
71565,,468,1591,YOSEMITE,0.6,251437,4209570,8/17/00,Yes,No,8/17/00,No
71583,,479,2274,YOSEMITE,0.95,253806,4217390,7/11/00,Yes,No,7/11/00,No
71610,,501,3139,YOSEMITE,0.8,289564,4218860,7/27/00,Yes,No,7/27/00,No
71614,,502,2624,YOSEMITE,1.25,268724,4215950,7/22/00,Yes,No,7/22/00,No
71782,,602,2926,YOSEMITE,0.75,273559,4227920,8/8/00,Yes,No,8/8/00,No
71807,,618,2904,YOSEMITE,1,275781,4219790,8/20/00,Yes,No,7/11/14,No
